name;rank;tournament_winrate;character;points;name_2;rank_2;tournament_winrate_2;character_2;points_2;wynik
oracle;5;0.6;Anna;100;DeaDeYe;4;0.33;Paul ;0;1
oracle;5;0.6;Anna;100;evil46;5;0.71;Brayan;100;1
oracle;5;0.6;Anna;100;Novi_Of_Thy_Sweep;4;0.6;Nina;100;1
oracle;5;0.6;Anna;100;DefuseTibetano;5;1;Lars;200;0
oracle;5;0.6;Anna;100;KaizokuLars_;5;0.77;Lars;150;0
KaizokuLars_;5;0.77;Lars;150;ItsNorXD;3;0.6;Brayan;40;1
KaizokuLars_;5;0.77;Lars;150;Ikuno;2;0;Alisa;0;1
KaizokuLars_;5;0.77;Lars;150;DefuseTibetano;5;1;Lars;200;0
KaizokuLars_;5;0.77;Lars;150;Owarino;4;0.6;Kunimitsu;20;1
KaizokuLars_;5;0.77;Lars;150;ItsNorXD;3;0.6;Brayan;40;1
KaizokuLars_;5;0.77;Lars;150;Novi_Of_Thy_Sweep;4;0.6;Nina;100;1
KaizokuLars_;5;0.77;Lars;150;evil46;5;0.71;Brayan;100;1
KaizokuLars_;5;0.77;Lars;150;oracle;5;0.6;anna;100;1
KaizokuLars_;5;0.77;Lars;150;DefuseTibetano;5;1;Lars;200;0
oracle;5;0.6;Anna;60;TBPKAOS;3;0.3;Brayan;0;1
oracle;5;0.6;Anna;60;serkan61_;4;0.6;Kazuya;20;1
oracle;5;0.6;Anna;60;silverbeammoon;4;0.5;Kuma;20;1
oracle;5;0.6;Anna;60;WhyFromPoland;5;1;Akuma;200;0
oracle;5;0.6;Anna;60;Lakomy;5;0.75;Kunimitsu;100;0
KaizokuLars_;5;0.5;Lars;20;slump_god;3;0;Xiaou;0;1
KaizokuLars_;5;0.5;Lars;20;Jaskarnet;4;0.6;Jin;20;1
KaizokuLars_;5;0.5;Lars;20;PiKaH;5;0.66;Geese;150;0
PiKaH;5;0.66;Geese;150;Dark3ned;3;0.33;Devil Jin;0;1
PiKaH;5;0.66;Geese;150;KaizokuLars_;5;0.5;Lars;20;1
PiKaH;5;0.66;Geese;150;destonDbaby;4;0.66;Alisa;100;1
PiKaH;5;0.66;Geese;150;WhyFromPoland;5;1;Akuma;200;0
PiKaH;5;0.66;Geese;150;Lakomy;5;0.75;Kunimitsu;100;0
PiKaH;5;0.66;Geese;150;WhyFromPoland;5;1;Akuma;200;0
WhyFromPoland;5;1;Akuma;200;DaDusty;4;0.66;Negan;40;1
WhyFromPoland;5;1;Akuma;200;Fasulin;4;0.6;Jack;20;1
WhyFromPoland;5;1;Akuma;200;oracle;5;0.6;Anna;60;1
WhyFromPoland;5;1;Akuma;200;PiKaH;5;0.66;Geese;150;1
WhyFromPoland;5;1;Akuma;200;PiKaH;5;0.66;Geese;150;1
oracle;5;0.66;Anna;100;Nino2003;2;0;Eliza;0;1
oracle;5;0.66;Anna;100;yomenikalchemik;4;0.33;Akuma;0;1
oracle;5;0.66;Anna;100;Frannawiliams;5;0.66;Anna;60;1
oracle;5;0.66;Anna;100;Bmbib;4;0.66;Paul ;100;1
oracle;5;0.66;Anna;100;BlackKazama;5;0.71;Asuka;150;0
oracle;5;0.66;Anna;100;WhyFromPoland;5;0.88;Akuma;200;1
WhyFromPoland;5;0.88;Akuma;200;Noki26;4;0.33;Shaheen;0;1
WhyFromPoland;5;0.88;Akuma;200;KaizokuLars_;5;0.66;Lars;40;1
WhyFromPoland;5;0.88;Akuma;200;Edddyy;3;0.5;Eddy;20;1
WhyFromPoland;5;0.88;Akuma;200;BlackKazama;5;0.71;Asuka;150;0
WhyFromPoland;5;0.88;Akuma;200;Frannawiliams;5;0.66;Anna;60;1
WhyFromPoland;5;0.88;Akuma;200;Bmbib;4;0.66;Paul ;100;1
WhyFromPoland;5;0.88;Akuma;200;oracle;5;0.66;Anna;100;1
WhyFromPoland;5;0.88;Akuma;200;BlackKazama;5;0.71;Asuka;150;1
WhyFromPoland;5;0.88;Akuma;200;BlackKazama;5;0.71;Asuka;150;1
KaizokuLars_;5;0.66;Lars;40;Mika;2;0;Hworang;0;1
KaizokuLars_;5;0.66;Lars;40;WhyFromPoland;5;0.88;Akuma;200;0
KaizokuLars_;5;0.66;Lars;40;MostEffective;3;0.33;Leroy;0;1
KaizokuLars_;5;0.66;Lars;40;Razorblack;3;0.5;Julia;0;1
KaizokuLars_;5;0.66;Lars;40;Fingerling26;4;0.5;Kazuya;20;1
KaizokuLars_;5;0.66;Lars;40;Frannawiliams;5;0.66;Anna;60;0
PiKaH;5;0.66;Geese;40;TIS_Daniloooo_29;3;0;Lucky Chloe;0;1
PiKaH;5;0.66;Geese;40;Fingerling26;4;0.5;Kazuya;20;1
PiKaH;5;0.66;Geese;40;YoungKobe;3;0.33;Akuma;0;1
PiKaH;5;0.66;Geese;40;deathadder9;3;0.5;Brayan;0;1
PiKaH;5;0.66;Geese;40;Edddyy;3;0.5;Eddy;20;1
PiKaH;5;0.66;Geese;40;Bonusjin;4;0.71;Jin;60;0
BlackKazama;5;0.71;Asuka;150;kirilfromspetsnaz;2;0;Eddy;0;1
BlackKazama;5;0.71;Asuka;150;Lyonidas;4;0.5;Claudio;0;1
BlackKazama;5;0.71;Asuka;150;twuj stary xd;3;0.5;Lee;0;1
BlackKazama;5;0.71;Asuka;150;WhyFromPoland;5;0.88;Akuma;200;1
BlackKazama;5;0.71;Asuka;150;oracle;5;0.66;Anna;100;1
BlackKazama;5;0.71;Asuka;150;WhyFromPoland;5;0.88;Akuma;200;0
BlackKazama;5;0.71;Asuka;150;WhyFromPoland;5;0.88;Akuma;200;0
